Unit,,F,f_contrast,Score,f_gj,Score
商贩,,5,0,-2.1464,5,2.1464
声光,,5,0,-2.1464,5,2.1464
星期六,,5,0,-2.1464,5,2.1464
有所增加,,5,0,-2.1464,5,2.1464
叉车,,5,0,-2.1464,5,2.1464
反弹,,5,0,-2.1464,5,2.1464
投掷,,5,0,-2.1464,5,2.1464
左右翼,,5,0,-2.1464,5,2.1464
瘫痪,,5,0,-2.1464,5,2.1464
黑衣人,,5,0,-2.1464,5,2.1464
481,,5,0,-2.1464,5,2.1464
玛丽安,,5,0,-2.1464,5,2.1464
外写,,5,0,-2.1464,5,2.1464
社会科学院,,5,0,-2.1464,5,2.1464
EHESS,,5,0,-2.1464,5,2.1464
社会学家,,5,0,-2.1464,5,2.1464
布拉斯,,5,0,-2.1464,5,2.1464
Herve,,5,0,-2.1464,5,2.1464
Le,,5,0,-2.1464,5,2.1464
Bras,,5,0,-2.1464,5,2.1464
遗留下来,,5,0,-2.1464,5,2.1464
憎恶,,5,0,-2.1464,5,2.1464
大幅度,,5,0,-2.1464,5,2.1464
深表,,5,0,-2.1464,5,2.1464
游人,,5,0,-2.1464,5,2.1464
纪念品,,5,0,-2.1464,5,2.1464
到处,,5,0,-2.1464,5,2.1464
旅馆,,5,0,-2.1464,5,2.1464
枪击案,,5,0,-2.1464,5,2.1464
头盔,,5,0,-2.1464,5,2.1464
坐收渔利,,5,0,-2.1464,5,2.1464
民怨,,5,0,-2.1464,5,2.1464
崔洪建,,5,0,-2.1464,5,2.1464
扩散,,10,2,-2.1287,8,2.1287
标志性,,10,2,-2.1287,8,2.1287
燃油,,10,2,-2.1287,8,2.1287
激烈,,10,2,-2.1287,8,2.1287
由此,,10,2,-2.1287,8,2.1287
一轮,,10,2,-2.1287,8,2.1287
不过,,60,28,-2.1003,32,2.1003
陷入,,34,14,-2.0705,20,2.0705
许多,,47,21,-2.0598,26,2.0598
抢劫,,12,3,-2.0492,9,2.0492
太,,12,3,-2.0492,9,2.0492
上演,,12,3,-2.0492,9,2.0492
日晚,,45,20,-2.0301,25,2.0301
开始,,123,64,-2.0234,59,2.0234
总理,,95,48,-2.0109,47,2.0109
周日,,14,4,-2.004,10,2.004
右翼,,14,4,-2.004,10,2.004
能够,,26,10,-1.9934,16,1.9934
真正,,16,5,-1.9793,11,1.9793
31,,16,5,-1.9793,11,1.9793
呼吁,,107,55,-1.979,52,1.979
被捕,,22,8,-1.9706,14,1.9706
规模,,22,8,-1.9706,14,1.9706
将会,,18,6,-1.968,12,1.968
交通,,18,6,-1.968,12,1.968
派出,,18,6,-1.968,12,1.968
成为,,119,62,-1.9584,57,1.9584
报,,39,17,-1.9428,22,1.9428
共识,,37,16,-1.9146,21,1.9146
部分,,57,27,-1.8994,30,1.8994
店铺,,7,1,-1.8975,6,1.8975
性,,7,1,-1.8975,6,1.8975
电视,,7,1,-1.8975,6,1.8975
转型,,7,1,-1.8975,6,1.8975
商讨,,7,1,-1.8975,6,1.8975
场面,,7,1,-1.8975,6,1.8975
